campaign_id,campaign_name,channel,objective,start_date,end_date,budget_usd,spend_usd,target_region,creative_type,impressions,clicks,duration_days,total_leads,converted_leads,total_revenue,LCR,CPA,ROAS,budget_utilization,spend_anomaly,Group,Group_Label,spend_anomaly_flag,clean_roas,margin_roas,spend_wins
MKT2000,Reach_1,paid social,Lead Gen,2025-01-05 00:00:00,2025-01-26 00:00:00,65494.0,25081.0,All,Video,1355897,78364,21.0,156,46,7633.43,0.2948717948717949,545.2391304347826,0.3043511024281328,0.3829511100253458,False,1,High Efficiency,False,0.30435110242813285,0.09130533072843985,25081.0
MKT2001,Pulse_2,paid search,Lead Gen,0,0,63041.0,70687.0,All,Carousel,550894,"2,019,642",0.0,129,47,9557.94,0.3643410852713178,1503.978723404255,0.135214961732709,1.1212861471106106,False,1,High Efficiency,False,0.135214961732709,0.040564488519812696,70687.0
MKT2002,Lift_3,paid search,Awareness,0,0,63987.0,73962.0,nationwide,Video,2486725,65214,0.0,151,63,10852.06,0.4172185430463576,1174.0,0.1467248046294043,1.1558910403675746,False,1,High Efficiency,False,0.1467248046294043,0.044017441388821285,73962.0
MKT2003,Pulse_4,email,Awareness,0,0,17595.0,81009.0,All,Promo,347146,12276,0.0,151,56,7701.16,0.3708609271523179,1446.5892857142858,0.095065486550877,4.6040920716112534,False,1,High Efficiency,False,0.09506548655087706,0.02851964596526312,81009.0
MKT2004,Pulse_5,affiliate,Retention,0,0,25636.0,62929.0,North C.,Static,"615,582",36368,0.0,142,38,9252.89,0.2676056338028169,1656.0263157894738,0.1470369781817604,2.454712123576221,False,1,High Efficiency,False,0.1470369781817604,0.044111093454528114,62929.0
MKT2005,Bloom_6,paid social,Awareness,2025-02-18 00:00:00,0,12240.0,0.0,All,Static,610023,27400,0.0,133,45,9348.18,0.3383458646616541,0.0,0.0,0.0,False,1,High Efficiency,False,,,0.0
MKT2006,Spark_7,paid social,Conversion,0,0,39104.0,15284.0,All,Carousel,2019407,2165262,0.0,134,46,9104.93,0.3432835820895522,332.2608695652174,0.5957164354880922,0.3908551554828151,False,1,High Efficiency,False,0.5957164354880922,0.17871493064642763,15284.0
MKT2007,Lift_8,influencer,Conversion,0,0,61474.0,36223.0,South South,Testimonial,1306075,67423,0.0,129,29,8533.63,0.2248062015503876,1249.0689655172414,0.2355859536758413,0.589240979926473,False,1,High Efficiency,False,0.2355859536758413,0.07067578610275238,36223.0
MKT2008,Edge_9,paid social,Conversion,0,2025-01-01 00:00:00,56402.0,0.0,S/S,Promo,"1,027,266",29487,0.0,162,60,9443.53,0.3703703703703703,0.0,0.0,0.0,False,1,High Efficiency,False,,,0.0
MKT2009,Pulse_10,influencer,Lead Gen,0,0,21744.0,66993.0,All,Carousel,"1,345,516","47,455",0.0,162,56,9041.16,0.345679012345679,1196.303571428571,0.1349567865299359,3.080987858719647,False,1,High Efficiency,False,0.13495678652993595,0.04048703595898079,66993.0
MKT2010,Lift_11,paid search,Lead Gen,0,0,21717.0,10392.0,North C.,UGC,392547,6448,0.0,139,39,9692.66,0.2805755395683453,266.46153846153845,0.9327040030792918,0.4785191324768614,False,1,High Efficiency,False,0.9327040030792918,0.27981120092378753,10392.0
MKT2011,Edge_12,email,Lead Gen,0,0,29158.0,86837.0,South West,Carousel,"2,238,897","48,566",0.0,125,52,10676.26,0.416,1669.9423076923076,0.122945979248477,2.9781535084710886,False,1,High Efficiency,False,0.12294597924847703,0.03688379377454311,86837.0
MKT2012,Spark_13,affiliate,Lead Gen,0,0,68839.0,57602.0,All,Static,380217,5689,0.0,167,70,10562.6,0.4191616766467065,822.8857142857142,0.1833721051352383,0.836764043638054,False,1,High Efficiency,False,0.18337210513523836,0.05501163154057151,57602.0
MKT2013,Lift_14,paid social,Retention,0,0,42707.0,18926.0,South West,UGC,1770389,12769,0.0,159,57,12620.18,0.3584905660377358,332.03508771929825,0.6668170770368805,0.4431592010677406,False,1,High Efficiency,False,0.6668170770368805,0.20004512311106415,18926.0
MKT2014,Spark_15,paid search,Awareness,0,0,41715.0,16885.0,All,UGC,"1,126,145",47326,0.0,133,53,9535.95,0.3984962406015037,318.58490566037733,0.5647586615339059,0.4047704662591393,False,1,High Efficiency,False,0.5647586615339059,0.16942759846017177,16885.0
MKT2015,Reach_16,paid search,Retention,0,0,66460.0,23071.0,All,UGC,"1,879,849",24175,0.0,152,68,10867.73,0.4473684210526316,339.27941176470586,0.4710558710068917,0.3471411375263316,False,1,High Efficiency,False,0.4710558710068917,0.14131676130206752,23071.0
MKT2016,Reach_17,email,Awareness,0,0,25855.0,89285.0,South West,Static,1279318,18758,0.0,156,64,12627.25,0.4102564102564102,1395.078125,0.1414263314106512,3.4532972345774513,False,1,High Efficiency,False,0.14142633141065128,0.04242789942319538,89285.0
MKT2017,Lift_18,paid social,Conversion,0,0,84894.0,43839.0,All,UGC,594319,40981,0.0,127,39,8495.029999999999,0.3070866141732283,1124.076923076923,0.1937779146422135,0.516396918510142,False,1,High Efficiency,False,0.19377791464221353,0.058133374392664056,43839.0
MKT2018,Bloom_19,paid social,Conversion,0,2025-07-09 00:00:00,9014.0,85475.0,All,UGC,477603,12423,0.0,132,48,8840.66,0.3636363636363636,1780.7291666666667,0.1034297747879497,9.482471710672288,False,1,High Efficiency,False,0.1034297747879497,0.031028932436384906,85475.0
MKT2019,Pulse_20,paid social,Lead Gen,2025-06-24 00:00:00,0,40367.0,56771.0,South West,Carousel,1954743,2239346,0.0,134,50,11358.96,0.373134328358209,1135.42,0.2000838456254073,1.4063715411103128,False,1,High Efficiency,False,0.20008384562540732,0.06002515368762219,56771.0
MKT2020,Bloom_21,email,Lead Gen,0,0,31097.0,0.0,South West,Static,"380,842",16181,0.0,146,70,7450.71,0.4794520547945205,0.0,0.0,0.0,False,1,High Efficiency,False,,,0.0
MKT2021,Edge_22,affiliate,Awareness,0,2025-08-13 00:00:00,53916.0,999999.0,North Central,UGC,141679,2902,0.0,135,47,9364.76,0.3481481481481481,21276.574468085106,0.0093647693647693,18.547351435566437,True,0,Volume Drivers,True,0.009364769364769364,0.002809430809430809,681249.0999999987
MKT2022,Spark_23,email,Retention,0,0,8129.0,21014.0,All,Testimonial,398010,14516,0.0,140,50,7487.95,0.3571428571428571,420.28,0.3563314932901875,2.585065813753229,False,1,High Efficiency,False,0.3563314932901875,0.10689944798705624,21014.0
MKT2023,Lift_24,email,Awareness,0,0,30017.0,60498.0,South South,Carousel,2165153,24670,0.0,159,61,11437.24,0.3836477987421384,991.7704918032788,0.1890515388938477,2.015457907185928,False,1,High Efficiency,False,0.18905153889384774,0.05671546166815432,60498.0
MKT2024,Lift_25,influencer,Retention,0,0,84890.0,85304.0,South West,Promo,941260,42809,0.0,123,45,8089.05,0.3658536585365853,1895.6444444444444,0.094826151176967,1.004876899517022,False,1,High Efficiency,False,0.09482615117696709,0.028447845353090126,85304.0
MKT2025,Edge_26,paid social,Awareness,0,0,51117.0,65830.0,South West,Static,697707,10177,0.0,146,43,10934.65,0.2945205479452055,1530.9302325581396,0.1661043597144159,1.2878298804702937,False,1,High Efficiency,False,0.16610435971441592,0.049831307914324774,65830.0
MKT2026,Spark_27,paid search,Lead Gen,0,0,59477.0,0.0,SW,Testimonial,1449000,48111,0.0,172,70,8746.08,0.4069767441860465,0.0,0.0,0.0,False,1,High Efficiency,False,,,0.0
MKT2027,Lift_28,paid search,Conversion,0,0,49418.0,41846.0,All,Carousel,706357,8927,0.0,140,62,9904.96,0.4428571428571428,674.9354838709677,0.2367002819863308,0.8467764782063216,False,1,High Efficiency,False,0.2367002819863308,0.07101008459589925,41846.0
MKT2028,Bloom_29,search,Awareness,0,0,10206.0,60810.0,South South,UGC,2064595,98242,0.0,148,59,11469.54,0.3986486486486486,1030.677966101695,0.1886127281697089,5.958259847148736,False,1,High Efficiency,False,0.18861272816970895,0.05658381845091268,60810.0
MKT2029,Spark_30,search,Lead Gen,0,0,74968.0,64465.0,North West,UGC,1191454,37494,0.0,136,57,8728.57,0.4191176470588235,1130.9649122807018,0.1354001396106414,0.8599002240956142,False,1,High Efficiency,False,0.13540013961064143,0.04062004188319243,64465.0
MKT2030,Spark_31,display,Conversion,0,0,20964.0,68072.0,S/S,Carousel,1059150,"1,880,058",0.0,142,49,10606.2,0.3450704225352112,1389.2244897959183,0.155808555646962,3.2470902499522993,False,1,High Efficiency,False,0.15580855564696205,0.04674256669408861,68072.0
MKT2031,Spark_32,paid social,Retention,0,0,24270.0,25350.0,North West,Video,"2,496,565",44778,0.0,142,57,9380.72,0.4014084507042254,444.7368421052632,0.3700481262327416,1.0444993819530284,False,1,High Efficiency,False,0.3700481262327416,0.11101443786982249,25350.0
MKT2032,Bloom_33,search,Retention,0,0,84755.0,28874.0,South West,Testimonial,2078386,68194,0.0,139,47,9797.42,0.3381294964028777,614.3404255319149,0.3393163399598254,0.3406760663087723,False,1,High Efficiency,False,0.33931633995982546,0.10179490198794763,28874.0
MKT2033,Pulse_34,display,Lead Gen,0,0,21284.0,75501.0,South West,Static,2118779,119499,0.0,146,45,14404.65,0.3082191780821918,1677.8,0.1907875392378908,3.5473125352377375,False,1,High Efficiency,False,0.19078753923789088,0.05723626177136726,75501.0
MKT2034,Edge_35,paid social,Lead Gen,0,0,69256.0,83522.0,North Central,Video,1469420,58852,0.0,143,51,12859.44,0.3566433566433566,1637.686274509804,0.1539647039103469,1.2059893727619269,False,1,High Efficiency,False,0.15396470391034697,0.04618941117310409,83522.0
MKT2035,Lift_36,paid search,Awareness,0,0,20880.0,22315.0,All,Carousel,1164068,"56,017",0.0,129,44,8872.8,0.3410852713178294,507.15909090909093,0.3976159533945776,1.0687260536398469,False,1,High Efficiency,False,0.3976159533945776,0.11928478601837328,22315.0
